user_id,age,gender,education_level,daily_active_minutes_instagram,reels_watched_per_day,time_on_feed_per_day,User Activity Score,weekly_work_hours,perceived_stress_score,smoking
1001,24,Female,Master,285,197,40,30.68,38,7,Previous
1002,37,Male,Bachelor’s,359,59,87,26.45,45,6,Previous
1003,32,Female,Master,84,123,29,78.24,67,6,No
1004,28,Male,Bachelor,196,222,155,59.72,63,2,No
1005,25,Female,Bachelor’s,22,175,230,54.95,63,10,Previous
1006,38,Male,Bachelor,161,206,69,78.36,51,6,No
1007,24,Male,High school,177,162,200,81.24,25,4,No
1008,43,Male,Bachelor,343,118,143,32.71,55,3,No
1009,36,Female,Bachelor,165,214,169,68.82,57,2,Previous
1010,40,Male,Bachelor,312,149,102,30.83,30,1,No
1011,28,Male,Master,172,30,52,80.11,52,5,Yes
1012,28,Female,HighSchool,212,140,139,72.56,43,2,Previous
1013,41,Female,Bachelor,92,51,69,96.53,42,2,No
1014,38,Male,Bachelor,324,236,160,25.52,34,7,No
1015,21,Male,Bachelor,159,117,220,24.56,46,8,No
1016,25,Female,Bachelor,206,80,40,42.57,30,10,No
1017,41,Female,Master,312,223,14,40.94,69,8,No
1018,20,Female,Bachelor,80,76,220,39.76,36,4,No
1019,39,Female,High school,217,93,171,92.5,33,1,Previous
1020,38,Female,High school,314,50,19,39.96,46,7,No
1021,19,Male,Bachelor,338,200,98,41.76,37,1,No
1022,41,Female,Bachelor,321,37,139,80.75,47,4,No
1023,29,Male,High school,30,5,135,55.98,66,8,Yes
1024,23,Male,Bachelor,81,151,20,82.14,66,2,Previous
1025,19,Male,Bachelor,352,35,187,25.23,23,6,No
1026,38,Female,Bachelor,245,212,168,59.01,26,6,No
1027,18,Male,Bachelor,172,146,65,22.69,64,9,No
1028,29,Male,Bachelor,218,57,216,25.01,54,5,No
1029,43,Female,Bachelor,71,52,210,92.51,67,10,No
1030,39,Male,Bachelor’s,279,73,224,31.14,28,4,No
1031,29,Male,High school,78,109,92,62.59,27,5,No
1032,42,Female,Bachelor,91,94,146,52.89,64,10,Yes
1033,34,Male,Bachelor,167,194,108,47.79,36,5,Previous
1034,44,Male,Master,82,224,158,91.99,36,8,No
1035,44,Male,Bachelor,329,198,82,21.75,68,10,No
1036,27,Female,Master,262,246,165,73.1,52,8,No
1037,33,Female,Bachelor,349,196,199,97.07,51,2,No
